EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:43:59.000,2040008479
2005-01-14T10:44:01.000,2040008479
2005-01-14T10:44:03.000,2040008479
2005-01-14T10:44:05.000,2040008481
2005-01-14T10:44:07.000,2040008480
2005-01-14T10:44:09.000,2040008480
2005-01-14T10:44:11.000,2040008479
2005-01-14T10:44:13.000,2040008480
2005-01-14T10:44:15.000,2040008480
2005-01-14T10:44:17.000,2040008481
2005-01-14T10:44:19.000,2040008482
2005-01-14T10:44:21.000,2040008482
2005-01-14T10:44:23.000,2040008482
2005-01-14T10:44:25.000,2040008485
2005-01-14T10:44:27.000,2040008487
2005-01-14T10:44:29.000,2040008488
2005-01-14T10:44:31.000,2040008489
2005-01-14T10:44:33.000,2040008490
2005-01-14T10:44:35.000,2040008493
2005-01-14T10:44:37.000,2040008496
2005-01-14T10:44:39.000,2040008498
2005-01-14T10:44:41.000,2040008499
2005-01-14T10:44:43.000,2040008501
2005-01-14T10:44:45.000,2040008503
2005-01-14T10:44:47.000,2040008506
2005-01-14T10:44:49.000,2040008508
2005-01-14T10:44:51.000,2040008510
2005-01-14T10:44:53.000,2040008511
2005-01-14T10:44:55.000,2040008514
2005-01-14T10:44:57.000,2040008517
2005-01-14T10:44:59.000,2040008518
2005-01-14T10:45:01.000,2040008519
2005-01-14T10:45:03.000,2040008520
2005-01-14T10:45:05.000,2040008521
2005-01-14T10:45:07.000,2040008522
2005-01-14T10:46:25.000,2040008584
2005-01-14T10:46:27.000,2040008585
2005-01-14T10:46:29.000,2040008586
2005-01-14T10:46:31.000,2040008587
2005-01-14T10:46:33.000,2040008587
2005-01-14T10:46:35.000,2040008589
2005-01-14T10:46:37.000,2040008591
2005-01-14T10:46:39.000,2040008593
2005-01-14T10:46:41.000,2040008594
2005-01-14T10:46:43.000,2040008594
2005-01-14T10:46:45.000,2040008594
2005-01-14T10:46:47.000,2040008594
2005-01-14T10:46:49.000,2040008596
2005-01-14T10:46:51.000,2040008597
2005-01-14T10:46:53.000,2040008597
2005-01-14T10:46:55.000,2040008597
2005-01-14T10:46:57.000,2040008597
2005-01-14T10:46:59.000,2040008597
2005-01-14T10:47:01.000,2040008597
2005-01-14T10:47:03.000,2040008597
2005-01-14T10:47:05.000,2040008597
2005-01-14T10:47:07.000,2040008598
2005-01-14T10:47:09.000,2040008597
2005-01-14T10:47:11.000,2040008597
2005-01-14T10:47:13.000,2040008598
2005-01-14T10:47:15.000,2040008597
2005-01-14T10:47:17.000,2040008597
2005-01-14T10:47:19.000,2040008597
2005-01-14T10:47:21.000,2040008596
2005-01-14T10:47:23.000,2040008597
2005-01-14T10:47:25.000,2040008597
2005-01-14T10:47:27.000,2040008597
2005-01-14T10:47:29.000,2040008597
2005-01-14T10:47:31.000,2040008598
2005-01-14T10:47:33.000,2040008597
2005-01-14T10:47:35.000,2040008596
2005-01-14T10:47:37.000,2040008597
2005-01-14T10:47:39.000,2040008596
2005-01-14T10:47:41.000,2040008597
2005-01-14T10:47:43.000,2040008597
2005-01-14T10:47:45.000,2040008597
2005-01-14T10:47:47.000,2040008596
2005-01-14T10:47:49.000,2040008596
2005-01-14T10:47:51.000,2040008597
2005-01-14T10:47:53.000,2040008597
2005-01-14T10:47:55.000,2040008597
2005-01-14T10:47:57.000,2040008597
2005-01-14T10:47:59.000,2040008596
2005-01-14T10:48:01.000,2040008597
2005-01-14T10:48:03.000,2040008597
2005-01-14T10:48:05.000,2040008596
2005-01-14T10:48:07.000,2040008597
2005-01-14T10:49:23.000,2040008595
2005-01-14T10:49:25.000,2040008595
2005-01-14T10:49:27.000,2040008595
2005-01-14T10:49:29.000,2040008594
